Iteration	 Training error	 Validation error 
1	0.00333131	0
2	0.00327855	0
3	0.00322716	0
4	0.00317736	0
5	0.00312907	0
6	0.00308223	0
7	0.00303677	0
8	0.00299264	0
9	0.00294977	0
10	0.00290811	0
11	0.00286761	0
12	0.00282822	0
13	0.0027899	0
14	0.0027526	0
15	0.00271629	0
16	0.00268092	0
17	0.00264645	0
18	0.00261286	0
19	0.00258011	0
20	0.00254816	0
21	0.002517	0
22	0.00248658	0
23	0.00245689	0
24	0.0024279	0
25	0.00239958	0
26	0.00237191	0
27	0.00234486	0
28	0.00231843	0
29	0.00229258	0
30	0.0022673	0
31	0.00224256	0
32	0.00221836	0
33	0.00219467	0
34	0.00217147	0
35	0.00214876	0
36	0.00212652	0
37	0.00210473	0
38	0.00208338	0
39	0.00206245	0
40	0.00204194	0
41	0.00202183	0
42	0.0020021	0
43	0.00198276	0
44	0.00196378	0
45	0.00194516	0
46	0.00192689	0
47	0.00190895	0
48	0.00189134	0
49	0.00187405	0
50	0.00185708	0
51	0.0018404	0
52	0.00182402	0
53	0.00180792	0
54	0.0017921	0
55	0.00177656	0
56	0.00176128	0
57	0.00174625	0
58	0.00173148	0
59	0.00171696	0
60	0.00170267	0
61	0.00168862	0
62	0.00167479	0
63	0.00166119	0
64	0.0016478	0
65	0.00163463	0
66	0.00162166	0
67	0.00160889	0
68	0.00159632	0
69	0.00158395	0
70	0.00157176	0
71	0.00155976	0
72	0.00154793	0
73	0.00153628	0
74	0.00152481	0
75	0.0015135	0
76	0.00150236	0
77	0.00149137	0
78	0.00148055	0
79	0.00146988	0
80	0.00145936	0
81	0.00144898	0
82	0.00143876	0
83	0.00142867	0
84	0.00141872	0
85	0.00140891	0
86	0.00139923	0
87	0.00138968	0
88	0.00138026	0
89	0.00137097	0
90	0.00136179	0
91	0.00135274	0
92	0.00134381	0
93	0.00133499	0
94	0.00132628	0
95	0.00131769	0
96	0.0013092	0
97	0.00130082	0
98	0.00129255	0
99	0.00128438	0
100	0.00127631	0
101	0.00126834	0
102	0.00126047	0
103	0.0012527	0
104	0.00124501	0
105	0.00123742	0
106	0.00122993	0
107	0.00122252	0
108	0.00121519	0
109	0.00120796	0
110	0.0012008	0
111	0.00119374	0
112	0.00118675	0
113	0.00117984	0
114	0.00117301	0
115	0.00116626	0
116	0.00115959	0
117	0.00115299	0
118	0.00114646	0
119	0.00114	0
120	0.00113362	0
121	0.00112731	0
122	0.00112106	0
123	0.00111489	0
124	0.00110878	0
125	0.00110273	0
126	0.00109675	0
127	0.00109084	0
128	0.00108498	0
129	0.00107919	0
130	0.00107346	0
131	0.00106779	0
132	0.00106217	0
133	0.00105662	0
134	0.00105112	0
135	0.00104567	0
136	0.00104029	0
137	0.00103495	0
138	0.00102967	0
139	0.00102445	0
140	0.00101927	0
141	0.00101415	0
142	0.00100907	0
143	0.00100405	0
144	0.000999076	0
145	0.000994149	0
146	0.00098927	0
147	0.000984438	0
148	0.000979652	0
149	0.000974912	0
150	0.000970216	0
151	0.000965565	0
152	0.000960957	0
153	0.000956393	0
154	0.00095187	0
155	0.00094739	0
156	0.000942951	0
157	0.000938553	0
158	0.000934194	0
159	0.000929876	0
160	0.000925596	0
161	0.000921355	0
162	0.000917152	0
163	0.000912987	0
164	0.000908858	0
165	0.000904766	0
166	0.00090071	0
167	0.00089669	0
168	0.000892705	0
169	0.000888754	0
170	0.000884838	0
171	0.000880955	0
172	0.000877106	0
173	0.00087329	0
174	0.000869506	0
175	0.000865754	0
176	0.000862034	0
177	0.000858345	0
178	0.000854687	0
179	0.000851059	0
180	0.000847462	0
181	0.000843894	0
182	0.000840356	0
183	0.000836847	0
184	0.000833366	0
185	0.000829914	0
186	0.00082649	0
187	0.000823093	0
188	0.000819724	0
189	0.000816381	0
190	0.000813065	0
191	0.000809776	0
192	0.000806513	0
193	0.000803275	0
194	0.000800063	0
195	0.000796875	0
196	0.000793713	0
197	0.000790575	0
198	0.000787462	0
199	0.000784372	0
200	0.000781306	0
201	0.000778264	0
202	0.000775245	0
203	0.000772248	0
204	0.000769275	0
205	0.000766323	0
206	0.000763394	0
207	0.000760487	0
208	0.000757601	0
209	0.000754737	0
210	0.000751894	0
211	0.000749072	0
212	0.00074627	0
213	0.000743489	0
214	0.000740729	0
215	0.000737988	0
216	0.000735267	0
217	0.000732566	0
218	0.000729884	0
219	0.000727222	0
220	0.000724578	0
221	0.000721953	0
222	0.000719347	0
223	0.000716759	0
224	0.000714189	0
225	0.000711638	0
226	0.000709104	0
227	0.000706588	0
228	0.000704089	0
229	0.000701607	0
230	0.000699143	0
231	0.000696695	0
232	0.000694265	0
233	0.000691851	0
234	0.000689453	0
235	0.000687071	0
236	0.000684706	0
237	0.000682356	0
238	0.000680023	0
239	0.000677704	0
240	0.000675402	0
241	0.000673114	0
242	0.000670842	0
243	0.000668585	0
244	0.000666342	0
245	0.000664114	0
246	0.000661901	0
247	0.000659702	0
248	0.000657518	0
249	0.000655347	0
250	0.000653191	0
251	0.000651048	0
252	0.00064892	0
253	0.000646804	0
254	0.000644703	0
255	0.000642614	0
256	0.000640539	0
257	0.000638477	0
258	0.000636428	0
259	0.000634392	0
260	0.000632368	0
261	0.000630357	0
262	0.000628359	0
263	0.000626373	0
264	0.000624399	0
265	0.000622437	0
266	0.000620488	0
267	0.00061855	0
268	0.000616624	0
269	0.00061471	0
270	0.000612807	0
271	0.000610916	0
272	0.000609037	0
273	0.000607168	0
274	0.000605311	0
275	0.000603465	0
276	0.00060163	0
277	0.000599806	0
278	0.000597993	0
279	0.00059619	0
280	0.000594398	0
281	0.000592617	0
282	0.000590846	0
283	0.000589085	0
284	0.000587334	0
285	0.000585594	0
286	0.000583864	0
287	0.000582144	0
288	0.000580433	0
289	0.000578733	0
290	0.000577042	0
291	0.000575361	0
292	0.000573689	0
293	0.000572027	0
294	0.000570374	0
295	0.000568731	0
296	0.000567097	0
297	0.000565472	0
298	0.000563856	0
299	0.000562249	0
300	0.000560651	0
301	0.000559062	0
302	0.000557482	0
303	0.00055591	0
304	0.000554347	0
305	0.000552793	0
306	0.000551247	0
307	0.00054971	0
308	0.000548181	0
309	0.00054666	0
310	0.000545148	0
311	0.000543643	0
312	0.000542147	0
313	0.000540659	0
314	0.000539179	0
315	0.000537707	0
316	0.000536242	0
317	0.000534786	0
318	0.000533337	0
319	0.000531896	0
320	0.000530462	0
321	0.000529036	0
322	0.000527617	0
323	0.000526206	0
324	0.000524802	0
325	0.000523406	0
326	0.000522017	0
327	0.000520635	0
328	0.00051926	0
329	0.000517892	0
330	0.000516531	0
331	0.000515177	0
332	0.000513831	0
333	0.000512491	0
334	0.000511158	0
335	0.000509831	0
336	0.000508511	0
337	0.000507198	0
338	0.000505892	0
339	0.000504592	0
340	0.000503299	0
341	0.000502012	0
342	0.000500732	0
343	0.000499458	0
344	0.00049819	0
345	0.000496929	0
346	0.000495673	0
347	0.000494425	0
348	0.000493182	0
349	0.000491945	0
350	0.000490714	0
351	0.00048949	0
352	0.000488271	0
353	0.000487058	0
354	0.000485851	0
355	0.00048465	0
356	0.000483455	0
357	0.000482265	0
358	0.000481081	0
359	0.000479903	0
360	0.000478731	0
361	0.000477564	0
362	0.000476402	0
363	0.000475247	0
364	0.000474096	0
365	0.000472951	0
366	0.000471812	0
367	0.000470678	0
368	0.000469549	0
369	0.000468425	0
370	0.000467307	0
371	0.000466194	0
372	0.000465086	0
373	0.000463983	0
374	0.000462885	0
375	0.000461792	0
376	0.000460705	0
377	0.000459622	0
378	0.000458545	0
379	0.000457472	0
380	0.000456404	0
381	0.000455341	0
382	0.000454283	0
383	0.00045323	0
384	0.000452181	0
385	0.000451137	0
386	0.000450098	0
387	0.000449064	0
388	0.000448034	0
389	0.000447009	0
390	0.000445988	0
391	0.000444972	0
392	0.00044396	0
393	0.000442953	0
394	0.000441951	0
395	0.000440953	0
396	0.000439959	0
397	0.000438969	0
398	0.000437984	0
399	0.000437003	0
400	0.000436027	0
401	0.000435055	0
402	0.000434087	0
403	0.000433123	0
404	0.000432163	0
405	0.000431208	0
406	0.000430257	0
407	0.000429309	0
408	0.000428366	0
409	0.000427427	0
410	0.000426492	0
411	0.000425561	0
412	0.000424634	0
413	0.00042371	0
414	0.000422791	0
415	0.000421876	0
416	0.000420964	0
417	0.000420056	0
418	0.000419153	0
419	0.000418252	0
420	0.000417356	0
421	0.000416464	0
422	0.000415575	0
423	0.00041469	0
424	0.000413808	0
425	0.00041293	0
426	0.000412056	0
427	0.000411186	0
428	0.000410319	0
429	0.000409455	0
430	0.000408595	0
431	0.000407739	0
432	0.000406886	0
433	0.000406037	0
434	0.000405191	0
435	0.000404348	0
436	0.000403509	0
437	0.000402674	0
438	0.000401841	0
439	0.000401012	0
440	0.000400187	0
441	0.000399365	0
442	0.000398546	0
443	0.00039773	0
444	0.000396917	0
445	0.000396108	0
446	0.000395302	0
447	0.000394499	0
448	0.0003937	0
449	0.000392903	0
450	0.00039211	0
451	0.00039132	0
452	0.000390533	0
453	0.000389749	0
454	0.000388968	0
455	0.00038819	0
456	0.000387415	0
457	0.000386643	0
458	0.000385875	0
459	0.000385109	0
460	0.000384346	0
461	0.000383586	0
462	0.000382829	0
463	0.000382075	0
464	0.000381324	0
465	0.000380575	0
466	0.00037983	0
467	0.000379087	0
468	0.000378348	0
469	0.000377611	0
470	0.000376876	0
471	0.000376145	0
472	0.000375417	0
473	0.000374691	0
474	0.000373968	0
475	0.000373247	0
476	0.00037253	0
477	0.000371815	0
478	0.000371102	0
479	0.000370393	0
480	0.000369686	0
481	0.000368981	0
482	0.00036828	0
483	0.00036758	0
484	0.000366884	0
485	0.00036619	0
486	0.000365498	0
487	0.00036481	0
488	0.000364123	0
489	0.000363439	0
490	0.000362758	0
491	0.000362079	0
492	0.000361403	0
493	0.000360729	0
494	0.000360058	0
495	0.000359389	0
496	0.000358722	0
497	0.000358058	0
498	0.000357396	0
499	0.000356737	0
500	0.00035608	0
501	0.000355425	0
502	0.000354773	0
503	0.000354123	0
504	0.000353475	0
505	0.00035283	0
506	0.000352187	0
507	0.000351546	0
508	0.000350907	0
509	0.000350271	0
510	0.000349637	0
511	0.000349006	0
512	0.000348376	0
513	0.000347749	0
514	0.000347124	0
515	0.000346501	0
516	0.00034588	0
517	0.000345261	0
518	0.000344645	0
519	0.000344031	0
520	0.000343419	0
521	0.000342809	0
522	0.000342201	0
523	0.000341595	0
524	0.000340991	0
525	0.00034039	0
526	0.00033979	0
527	0.000339193	0
528	0.000338597	0
529	0.000338004	0
530	0.000337413	0
531	0.000336823	0
532	0.000336236	0
533	0.000335651	0
534	0.000335067	0
535	0.000334486	0
536	0.000333906	0
537	0.000333329	0
538	0.000332753	0
539	0.00033218	0
540	0.000331608	0
541	0.000331038	0
