Iteration	 Training error	 Validation error 
1	1.39111	0
2	1.4031	0
3	1.13812	0
4	0.344045	0
5	0.346556	0
6	0.346436	0
7	0.346119	0
8	0.329221	0
9	0.301974	0
10	0.325339	0
11	0.326764	0
12	0.326247	0
13	0.3204	0
14	0.322845	0
15	0.343012	0
16	0.338304	0
17	0.181203	0
18	0.172537	0
19	0.172393	0
20	0.172309	0
21	0.172252	0
22	0.172211	0
23	0.172179	0
24	0.172153	0
25	0.172131	0
26	0.172112	0
27	0.172096	0
28	0.172081	0
29	0.172068	0
30	0.172056	0
31	0.172044	0
32	0.172032	0
33	0.17202	0
34	0.172008	0
35	0.171994	0
36	0.171979	0
37	0.17196	0
38	0.171936	0
39	0.171901	0
40	0.171841	0
41	0.171708	0
42	0.17113	0
43	0.0025347	0
44	0.00100677	0
45	0.000670262	0
46	0.00050457	0
47	0.000404851	0
48	0.000338274	0
49	0.000290686	0
50	0.000254973	0
51	0.000227175	0
52	0.000204915	0
53	0.000186682	0
54	0.00017147	0
55	0.000158582	0
56	0.000147521	0
57	0.000137922	0
58	0.000129511	0
59	0.00012208	0
60	0.000115467	0
61	0.000109542	0
62	0.000104203	0
63	9.93661e-05	0
64	9.4964e-05	0
65	9.09401e-05	0
66	8.72473e-05	0
67	8.38463e-05	0
68	8.07035e-05	0
69	7.77905e-05	0
70	7.50829e-05	0
71	7.25595e-05	0
72	7.02021e-05	0
73	6.79948e-05	0
74	6.59236e-05	0
75	6.39761e-05	0
76	6.21417e-05	0
77	6.04107e-05	0
78	5.87745e-05	0
79	5.72255e-05	0
80	5.57569e-05	0
81	5.43626e-05	0
82	5.3037e-05	0
83	5.17752e-05	0
84	5.05726e-05	0
85	4.94252e-05	0
86	4.83292e-05	0
87	4.72813e-05	0
88	4.62782e-05	0
89	4.53173e-05	0
90	4.43958e-05	0
91	4.35114e-05	0
92	4.26619e-05	0
93	4.18452e-05	0
94	4.10595e-05	0
95	4.0303e-05	0
96	3.95742e-05	0
97	3.88715e-05	0
98	3.81935e-05	0
99	3.7539e-05	0
100	3.69067e-05	0
101	3.62956e-05	0
102	3.57045e-05	0
103	3.51326e-05	0
104	3.45789e-05	0
105	3.40425e-05	0
106	3.35226e-05	0
107	3.30185e-05	0
108	3.25294e-05	0
109	3.20548e-05	0
110	3.15939e-05	0
111	3.11462e-05	0
112	3.07111e-05	0
113	3.02881e-05	0
114	2.98767e-05	0
115	2.94764e-05	0
116	2.90868e-05	0
117	2.87074e-05	0
118	2.83379e-05	0
119	2.79778e-05	0
120	2.76268e-05	0
121	2.72846e-05	0
122	2.69509e-05	0
123	2.66252e-05	0
124	2.63074e-05	0
125	2.59972e-05	0
126	2.56943e-05	0
127	2.53983e-05	0
128	2.51092e-05	0
129	2.48266e-05	0
130	2.45504e-05	0
131	2.42803e-05	0
132	2.40161e-05	0
133	2.37576e-05	0
134	2.35047e-05	0
135	2.32571e-05	0
136	2.30148e-05	0
137	2.27774e-05	0
138	2.2545e-05	0
139	2.23173e-05	0
140	2.20941e-05	0
141	2.18755e-05	0
142	2.16611e-05	0
143	2.14509e-05	0
144	2.12448e-05	0
145	2.10426e-05	0
146	2.08443e-05	0
147	2.06497e-05	0
148	2.04587e-05	0
149	2.02713e-05	0
150	2.00873e-05	0
151	1.99066e-05	0
152	1.97291e-05	0
153	1.95548e-05	0
154	1.93836e-05	0
155	1.92154e-05	0
156	1.90501e-05	0
157	1.88876e-05	0
158	1.87279e-05	0
159	1.85709e-05	0
160	1.84165e-05	0
161	1.82646e-05	0
162	1.81153e-05	0
163	1.79684e-05	0
164	1.78239e-05	0
165	1.76817e-05	0
166	1.75418e-05	0
167	1.7404e-05	0
168	1.72685e-05	0
169	1.7135e-05	0
170	1.70036e-05	0
171	1.68742e-05	0
172	1.67468e-05	0
173	1.66213e-05	0
174	1.64977e-05	0
175	1.63759e-05	0
176	1.62559e-05	0
177	1.61377e-05	0
178	1.60212e-05	0
179	1.59063e-05	0
180	1.57931e-05	0
181	1.56816e-05	0
182	1.55715e-05	0
183	1.54631e-05	0
184	1.53561e-05	0
185	1.52506e-05	0
186	1.51466e-05	0
187	1.5044e-05	0
188	1.49427e-05	0
189	1.48429e-05	0
190	1.47443e-05	0
191	1.46471e-05	0
192	1.45511e-05	0
193	1.44565e-05	0
194	1.4363e-05	0
195	1.42707e-05	0
196	1.41797e-05	0
197	1.40897e-05	0
198	1.4001e-05	0
199	1.39133e-05	0
200	1.38268e-05	0
201	1.37413e-05	0
202	1.36568e-05	0
203	1.35734e-05	0
204	1.34911e-05	0
205	1.34097e-05	0
206	1.33293e-05	0
207	1.32499e-05	0
208	1.31714e-05	0
209	1.30938e-05	0
210	1.30172e-05	0
211	1.29414e-05	0
212	1.28665e-05	0
213	1.27925e-05	0
214	1.27194e-05	0
215	1.26471e-05	0
216	1.25756e-05	0
217	1.25049e-05	0
218	1.2435e-05	0
219	1.23659e-05	0
220	1.22975e-05	0
221	1.22299e-05	0
222	1.21631e-05	0
223	1.2097e-05	0
224	1.20316e-05	0
225	1.19669e-05	0
226	1.19029e-05	0
227	1.18395e-05	0
228	1.17769e-05	0
229	1.17149e-05	0
230	1.16536e-05	0
231	1.15929e-05	0
232	1.15328e-05	0
233	1.14734e-05	0
234	1.14146e-05	0
235	1.13564e-05	0
236	1.12987e-05	0
237	1.12417e-05	0
238	1.11852e-05	0
239	1.11293e-05	0
240	1.1074e-05	0
241	1.10192e-05	0
242	1.09649e-05	0
243	1.09112e-05	0
244	1.0858e-05	0
245	1.08054e-05	0
246	1.07532e-05	0
247	1.07015e-05	0
248	1.06504e-05	0
249	1.05997e-05	0
250	1.05495e-05	0
251	1.04998e-05	0
252	1.04506e-05	0
253	1.04018e-05	0
254	1.03534e-05	0
255	1.03055e-05	0
256	1.02581e-05	0
257	1.02111e-05	0
258	1.01645e-05	0
259	1.01184e-05	0
260	1.00726e-05	0
261	1.00273e-05	0
262	9.98242e-06	0
263	9.93791e-06	0
264	9.8938e-06	0
265	9.85008e-06	0
266	9.80674e-06	0
267	9.76379e-06	0
268	9.72121e-06	0
269	9.679e-06	0
270	9.63716e-06	0
271	9.59569e-06	0
272	9.55456e-06	0
273	9.51379e-06	0
274	9.47337e-06	0
275	9.43329e-06	0
276	9.39355e-06	0
277	9.35415e-06	0
278	9.31507e-06	0
279	9.27632e-06	0
280	9.2379e-06	0
281	9.19979e-06	0
282	9.162e-06	0
283	9.12451e-06	0
284	9.08733e-06	0
285	9.05046e-06	0
