Iteration	 Training error	 Validation error 
1	0.132762	0
2	0.0422114	0
3	0.0180648	0
4	0.0125506	0
5	0.0103459	0
6	0.00893363	0
7	0.00788141	0
8	0.00705609	0
9	0.00638921	0
10	0.00583833	0
11	0.0053752	0
12	0.00498017	0
13	0.00463912	0
14	0.0043416	0
15	0.00407973	0
16	0.00384744	0
17	0.00363996	0
18	0.00345351	0
19	0.00328503	0
20	0.00313205	0
21	0.00299251	0
22	0.00286472	0
23	0.00274725	0
24	0.00263891	0
25	0.00253866	0
26	0.00244564	0
27	0.0023591	0
28	0.00227837	0
29	0.0022029	0
30	0.00213218	0
31	0.00206579	0
32	0.00200334	0
33	0.00194448	0
34	0.00188893	0
35	0.00183641	0
36	0.00178667	0
37	0.00173951	0
38	0.00169473	0
39	0.00165215	0
40	0.00161162	0
41	0.00157299	0
42	0.00153614	0
43	0.00150094	0
44	0.00146728	0
45	0.00143507	0
46	0.00140422	0
47	0.00137464	0
48	0.00134625	0
49	0.00131899	0
50	0.00129279	0
51	0.00126759	0
52	0.00124333	0
53	0.00121996	0
54	0.00119744	0
55	0.00117572	0
56	0.00115475	0
57	0.0011345	0
58	0.00111494	0
59	0.00109602	0
60	0.00107773	0
61	0.00106002	0
62	0.00104286	0
63	0.00102625	0
64	0.00101014	0
65	0.000994523	0
66	0.000979368	0
67	0.000964658	0
68	0.000950374	0
69	0.000936497	0
70	0.000923011	0
71	0.000909899	0
72	0.000897147	0
73	0.000884738	0
74	0.000872661	0
75	0.000860901	0
76	0.000849448	0
77	0.000838288	0
78	0.000827411	0
79	0.000816806	0
80	0.000806463	0
81	0.000796373	0
82	0.000786527	0
83	0.000776916	0
84	0.000767531	0
85	0.000758366	0
86	0.000749411	0
87	0.000740661	0
88	0.000732108	0
89	0.000723746	0
90	0.000715568	0
91	0.000707569	0
92	0.000699742	0
93	0.000692083	0
94	0.000684586	0
95	0.000677245	0
96	0.000670057	0
97	0.000663016	0
98	0.000656119	0
99	0.000649359	0
100	0.000642735	0
101	0.000636241	0
102	0.000629874	0
103	0.00062363	0
104	0.000617506	0
105	0.000611498	0
106	0.000605603	0
107	0.000599818	0
108	0.00059414	0
109	0.000588566	0
110	0.000583093	0
111	0.000577718	0
112	0.00057244	0
113	0.000567254	0
114	0.00056216	0
115	0.000557154	0
116	0.000552234	0
117	0.000547399	0
118	0.000542645	0
119	0.000537971	0
120	0.000533375	0
121	0.000528855	0
122	0.000524409	0
123	0.000520036	0
124	0.000515733	0
125	0.000511499	0
126	0.000507333	0
127	0.000503232	0
128	0.000499195	0
129	0.000495221	0
130	0.000491308	0
131	0.000487455	0
132	0.000483661	0
133	0.000479924	0
134	0.000476242	0
135	0.000472616	0
136	0.000469043	0
137	0.000465522	0
138	0.000462052	0
139	0.000458633	0
140	0.000455262	0
141	0.00045194	0
142	0.000448664	0
143	0.000445435	0
144	0.00044225	0
145	0.00043911	0
146	0.000436013	0
147	0.000432958	0
148	0.000429945	0
149	0.000426972	0
150	0.000424039	0
151	0.000421145	0
152	0.00041829	0
153	0.000415472	0
154	0.00041269	0
155	0.000409945	0
156	0.000407235	0
157	0.00040456	0
158	0.000401919	0
159	0.000399312	0
160	0.000396737	0
161	0.000394194	0
162	0.000391683	0
163	0.000389203	0
164	0.000386754	0
165	0.000384334	0
166	0.000381944	0
167	0.000379583	0
168	0.000377249	0
169	0.000374944	0
170	0.000372666	0
171	0.000370415	0
172	0.00036819	0
173	0.000365991	0
174	0.000363818	0
175	0.000361669	0
176	0.000359545	0
177	0.000357446	0
178	0.00035537	0
179	0.000353317	0
180	0.000351288	0
181	0.000349281	0
182	0.000347296	0
183	0.000345334	0
184	0.000343392	0
185	0.000341472	0
186	0.000339573	0
187	0.000337694	0
188	0.000335836	0
189	0.000333997	0
190	0.000332178	0
191	0.000330378	0
192	0.000328597	0
193	0.000326835	0
194	0.00032509	0
195	0.000323364	0
196	0.000321656	0
197	0.000319965	0
198	0.000318292	0
199	0.000316635	0
200	0.000314996	0
201	0.000313372	0
202	0.000311765	0
203	0.000310174	0
204	0.000308599	0
205	0.000307039	0
206	0.000305495	0
207	0.000303965	0
208	0.000302451	0
209	0.000300951	0
210	0.000299465	0
211	0.000297994	0
212	0.000296537	0
213	0.000295094	0
214	0.000293664	0
215	0.000292248	0
216	0.000290845	0
217	0.000289455	0
218	0.000288078	0
219	0.000286713	0
220	0.000285361	0
221	0.000284022	0
222	0.000282695	0
223	0.00028138	0
224	0.000280076	0
225	0.000278785	0
226	0.000277505	0
227	0.000276236	0
228	0.000274979	0
229	0.000273733	0
230	0.000272497	0
231	0.000271273	0
232	0.000270059	0
233	0.000268856	0
234	0.000267663	0
235	0.000266481	0
236	0.000265308	0
237	0.000264146	0
238	0.000262993	0
239	0.000261851	0
240	0.000260718	0
241	0.000259594	0
242	0.00025848	0
243	0.000257375	0
244	0.000256279	0
245	0.000255193	0
246	0.000254115	0
247	0.000253046	0
248	0.000251986	0
249	0.000250935	0
250	0.000249892	0
251	0.000248857	0
252	0.000247831	0
253	0.000246813	0
254	0.000245803	0
255	0.000244801	0
256	0.000243807	0
257	0.000242821	0
258	0.000241843	0
259	0.000240872	0
260	0.000239909	0
261	0.000238953	0
262	0.000238005	0
263	0.000237064	0
264	0.00023613	0
265	0.000235204	0
266	0.000234284	0
267	0.000233372	0
268	0.000232466	0
269	0.000231567	0
270	0.000230675	0
271	0.00022979	0
272	0.000228911	0
273	0.000228039	0
274	0.000227173	0
275	0.000226314	0
276	0.000225461	0
277	0.000224614	0
278	0.000223773	0
279	0.000222939	0
280	0.00022211	0
281	0.000221288	0
282	0.000220471	0
283	0.000219661	0
284	0.000218856	0
285	0.000218056	0
286	0.000217263	0
287	0.000216475	0
288	0.000215693	0
289	0.000214916	0
290	0.000214144	0
291	0.000213378	0
292	0.000212617	0
293	0.000211862	0
294	0.000211112	0
295	0.000210367	0
296	0.000209627	0
297	0.000208892	0
298	0.000208162	0
299	0.000207437	0
300	0.000206717	0
301	0.000206002	0
302	0.000205291	0
303	0.000204586	0
304	0.000203885	0
305	0.000203189	0
306	0.000202497	0
307	0.00020181	0
308	0.000201127	0
309	0.000200449	0
310	0.000199776	0
311	0.000199107	0
312	0.000198442	0
313	0.000197781	0
314	0.000197125	0
315	0.000196473	0
316	0.000195825	0
317	0.000195182	0
318	0.000194542	0
319	0.000193907	0
320	0.000193275	0
321	0.000192648	0
322	0.000192024	0
323	0.000191405	0
324	0.000190789	0
325	0.000190177	0
326	0.000189569	0
327	0.000188965	0
328	0.000188365	0
329	0.000187768	0
330	0.000187175	0
331	0.000186585	0
332	0.000185999	0
333	0.000185417	0
334	0.000184838	0
335	0.000184263	0
336	0.000183691	0
337	0.000183123	0
338	0.000182558	0
339	0.000181997	0
340	0.000181439	0
341	0.000180884	0
342	0.000180332	0
343	0.000179784	0
344	0.000179239	0
345	0.000178697	0
346	0.000178159	0
347	0.000177623	0
348	0.000177091	0
349	0.000176562	0
350	0.000176036	0
351	0.000175513	0
352	0.000174992	0
353	0.000174475	0
354	0.000173961	0
355	0.00017345	0
356	0.000172942	0
357	0.000172437	0
358	0.000171934	0
359	0.000171434	0
360	0.000170938	0
361	0.000170444	0
362	0.000169952	0
363	0.000169464	0
364	0.000168978	0
365	0.000168495	0
366	0.000168015	0
367	0.000167537	0
368	0.000167062	0
369	0.00016659	0
370	0.00016612	0
371	0.000165653	0
372	0.000165188	0
373	0.000164726	0
374	0.000164266	0
375	0.000163809	0
376	0.000163354	0
377	0.000162902	0
378	0.000162452	0
379	0.000162005	0
380	0.00016156	0
381	0.000161117	0
382	0.000160677	0
383	0.000160239	0
384	0.000159804	0
385	0.00015937	0
386	0.00015894	0
387	0.000158511	0
388	0.000158084	0
389	0.00015766	0
390	0.000157238	0
391	0.000156818	0
392	0.000156401	0
393	0.000155985	0
394	0.000155572	0
395	0.000155161	0
396	0.000154751	0
397	0.000154344	0
398	0.00015394	0
399	0.000153537	0
400	0.000153136	0
401	0.000152737	0
402	0.00015234	0
403	0.000151946	0
404	0.000151553	0
405	0.000151162	0
406	0.000150773	0
407	0.000150386	0
408	0.000150001	0
409	0.000149618	0
410	0.000149237	0
411	0.000148858	0
412	0.000148481	0
413	0.000148105	0
414	0.000147732	0
415	0.00014736	0
416	0.00014699	0
417	0.000146622	0
418	0.000146255	0
419	0.000145891	0
420	0.000145528	0
421	0.000145167	0
422	0.000144807	0
423	0.00014445	0
424	0.000144094	0
425	0.00014374	0
426	0.000143387	0
427	0.000143036	0
428	0.000142687	0
429	0.00014234	0
430	0.000141994	0
431	0.00014165	0
432	0.000141307	0
433	0.000140966	0
434	0.000140627	0
435	0.000140289	0
436	0.000139953	0
437	0.000139618	0
438	0.000139285	0
439	0.000138954	0
440	0.000138624	0
441	0.000138295	0
442	0.000137968	0
443	0.000137643	0
444	0.000137319	0
445	0.000136996	0
446	0.000136675	0
447	0.000136356	0
448	0.000136038	0
449	0.000135721	0
450	0.000135406	0
451	0.000135092	0
452	0.00013478	0
453	0.000134469	0
454	0.000134159	0
455	0.000133851	0
456	0.000133544	0
457	0.000133239	0
458	0.000132935	0
459	0.000132632	0
460	0.00013233	0
461	0.00013203	0
462	0.000131732	0
463	0.000131434	0
464	0.000131138	0
465	0.000130843	0
466	0.00013055	0
467	0.000130258	0
468	0.000129967	0
469	0.000129677	0
470	0.000129388	0
471	0.000129101	0
472	0.000128815	0
473	0.000128531	0
474	0.000128247	0
475	0.000127965	0
476	0.000127684	0
477	0.000127404	0
478	0.000127125	0
479	0.000126848	0
480	0.000126571	0
481	0.000126296	0
482	0.000126022	0
483	0.000125749	0
484	0.000125478	0
485	0.000125207	0
486	0.000124938	0
487	0.00012467	0
488	0.000124402	0
489	0.000124136	0
490	0.000123871	0
491	0.000123608	0
492	0.000123345	0
493	0.000123083	0
494	0.000122823	0
495	0.000122563	0
496	0.000122305	0
497	0.000122047	0
498	0.000121791	0
499	0.000121536	0
500	0.000121282	0
