Iteration	 Training error	 Validation error 
1	0.307314	0
2	0.296931	0
3	0.295903	0
4	0.290894	0
5	0.287209	0
6	0.284248	0
7	0.280535	0
8	0.277194	0
9	0.273648	0
10	0.269875	0
11	0.266023	0
12	0.261983	0
13	0.257835	0
14	0.253593	0
15	0.249241	0
16	0.244817	0
17	0.240361	0
18	0.235895	0
19	0.231428	0
20	0.226971	0
21	0.222533	0
22	0.218124	0
23	0.213756	0
24	0.209439	0
25	0.205177	0
26	0.200963	0
27	0.196802	0
28	0.192726	0
29	0.188757	0
30	0.184894	0
31	0.181131	0
32	0.177464	0
33	0.173878	0
34	0.170359	0
35	0.166906	0
36	0.163523	0
37	0.160234	0
38	0.157055	0
39	0.153982	0
40	0.150995	0
41	0.148092	0
42	0.145278	0
43	0.142557	0
44	0.139931	0
45	0.137416	0
46	0.13504	0
47	0.132792	0
48	0.130634	0
49	0.128545	0
50	0.126526	0
51	0.124569	0
52	0.122666	0
53	0.120816	0
54	0.119009	0
55	0.117233	0
56	0.115474	0
57	0.113757	0
58	0.112093	0
59	0.110475	0
60	0.108883	0
61	0.107397	0
62	0.105953	0
63	0.104504	0
64	0.103054	0
65	0.101822	0
66	0.10053	0
67	0.0990337	0
68	0.0975229	0
69	0.0963039	0
70	0.0952478	0
71	0.0936039	0
72	0.0925991	0
73	0.0911181	0
74	0.0913736	0
75	0.0892048	0
76	0.0890805	0
77	0.0872631	0
78	0.090107	0
79	0.0880829	0
80	0.0887586	0
81	0.0890808	0
82	0.0865676	0
83	0.0889707	0
84	0.085529	0
85	0.0879648	0
86	0.0833848	0
87	0.0859496	0
88	0.0845862	0
89	0.0806329	0
90	0.0861634	0
91	0.0785534	0
92	0.0807208	0
93	0.0777222	0
94	0.0744179	0
95	0.0788893	0
96	0.0701581	0
97	0.0767782	0
98	0.0683052	0
99	0.0756347	0
100	0.0698259	0
101	0.0665523	0
102	0.0673441	0
103	0.0631174	0
104	0.0654622	0
105	0.0618328	0
106	0.0617277	0
107	0.0604608	0
108	0.0593567	0
109	0.0596087	0
110	0.0575658	0
111	0.0575898	0
112	0.0564037	0
113	0.0565401	0
114	0.0556047	0
115	0.0552777	0
116	0.0543771	0
117	0.0542127	0
118	0.0534363	0
119	0.0534263	0
120	0.0528703	0
121	0.0516086	0
122	0.0521716	0
123	0.0508241	0
124	0.0517461	0
125	0.0496724	0
126	0.0508282	0
127	0.0489763	0
128	0.0504927	0
129	0.0487491	0
130	0.0484342	0
131	0.0478655	0
132	0.047653	0
133	0.0475188	0
134	0.0463162	0
135	0.046784	0
136	0.0454701	0
137	0.0462656	0
138	0.0447913	0
139	0.0451929	0
140	0.0441047	0
141	0.0442213	0
142	0.043734	0
143	0.0428734	0
144	0.0430359	0
145	0.0420844	0
146	0.0425151	0
147	0.0413769	0
148	0.0415041	0
149	0.0408715	0
150	0.0408287	0
151	0.0403539	0
152	0.0398996	0
153	0.0395679	0
154	0.0394441	0
155	0.0391914	0
156	0.0388139	0
157	0.0385034	0
158	0.038261	0
159	0.0382994	0
160	0.0377565	0
161	0.0377252	0
162	0.0372007	0
163	0.0374766	0
164	0.0368797	0
165	0.0368473	0
166	0.0363389	0
167	0.036458	0
168	0.0361657	0
169	0.0357532	0
170	0.0355871	0
171	0.0353505	0
172	0.0353263	0
173	0.0350244	0
174	0.0347876	0
175	0.0345549	0
176	0.0344171	0
177	0.034263	0
178	0.0340236	0
179	0.0338087	0
180	0.0336221	0
181	0.0335266	0
182	0.0332292	0
183	0.0330096	0
184	0.0328491	0
185	0.0327785	0
186	0.0326031	0
187	0.0323818	0
188	0.0322261	0
189	0.0320914	0
190	0.0319957	0
191	0.0318064	0
192	0.0316501	0
193	0.0315008	0
194	0.0313926	0
195	0.0312599	0
196	0.0310962	0
197	0.0309567	0
198	0.0308223	0
199	0.0307101	0
200	0.0305538	0
201	0.0304028	0
202	0.0302466	0
203	0.0300867	0
204	0.0298771	0
205	0.0296545	0
206	0.0294942	0
207	0.0293611	0
208	0.0292469	0
209	0.0291091	0
210	0.0289718	0
211	0.0288394	0
212	0.0287172	0
213	0.0285883	0
214	0.0284439	0
215	0.028304	0
216	0.0281593	0
217	0.0280028	0
218	0.027833	0
219	0.027676	0
220	0.0275336	0
221	0.0274069	0
222	0.0272858	0
223	0.0271614	0
224	0.0270465	0
225	0.0269428	0
226	0.0268455	0
227	0.0267419	0
228	0.0266355	0
229	0.026536	0
230	0.0264433	0
231	0.0263496	0
232	0.0262484	0
233	0.0261464	0
234	0.0260483	0
235	0.0259525	0
236	0.0258541	0
237	0.0257529	0
238	0.0256538	0
239	0.0255589	0
240	0.0254637	0
241	0.0253618	0
242	0.0252562	0
243	0.025155	0
244	0.0250591	0
245	0.0249659	0
246	0.0248747	0
247	0.024787	0
248	0.0247022	0
249	0.0246162	0
250	0.024528	0
251	0.0244392	0
252	0.0243513	0
253	0.0242634	0
254	0.0241745	0
255	0.0240857	0
256	0.0239993	0
257	0.0239164	0
258	0.0238359	0
259	0.0237547	0
260	0.0236693	0
261	0.0235724	0
262	0.023448	0
263	0.0233268	0
264	0.0232338	0
265	0.0231311	0
266	0.0230006	0
267	0.0228587	0
268	0.0227352	0
269	0.0226397	0
270	0.0225609	0
271	0.022475	0
272	0.0223876	0
273	0.0223075	0
274	0.0222346	0
275	0.0221542	0
276	0.0220646	0
277	0.0219824	0
278	0.0219108	0
279	0.0218387	0
280	0.0217537	0
281	0.0216694	0
282	0.0215965	0
283	0.02153	0
284	0.0214532	0
285	0.0213666	0
286	0.0212848	0
287	0.021209	0
288	0.0211272	0
289	0.0210306	0
290	0.0209363	0
291	0.0208539	0
292	0.0207743	0
293	0.0206798	0
294	0.0205623	0
295	0.0204044	0
296	0.0203196	0
297	0.0202351	0
298	0.0201372	0
