Iteration	 Training error	 Validation error 
1	1.07021	0
2	1.05414	0
3	1.05736	0
4	1.04487	0
5	1.10702	0
6	1.11266	0
7	1.18223	0
8	1.17044	0
9	1.15438	0
10	1.14746	0
11	1.03576	0
12	1.01571	0
13	1.0577	0
14	1.16451	0
15	1.23736	0
16	1.0473	0
17	1.05499	0
18	1.28303	0
19	1.23649	0
20	1.05682	0
21	1.08923	0
22	1.08657	0
23	1.10884	0
24	1.20775	0
25	1.11469	0
26	1.15412	0
27	1.04515	0
28	1.03361	0
29	1.03454	0
30	1.02138	0
31	1.02101	0
32	1.01682	0
33	1.09999	0
34	1.0986	0
35	1.13334	0
36	1.05378	0
37	1.14248	0
38	1.10641	0
39	1.09143	0
40	1.08478	0
41	1.09399	0
42	1.07285	0
43	1.06905	0
44	1.17516	0
45	1.23529	0
46	1.24279	0
47	1.24378	0
48	1.24493	0
49	1.24366	0
50	1.24188	0
51	1.2354	0
52	1.21142	0
53	1.45241	0
54	1.24039	0
55	1.18039	0
56	1.15622	0
57	1.13193	0
58	1.3118	0
59	1.60074	0
60	1.47092	0
61	1.47324	0
501	1.75037	0
