Iteration	 Training error	 Validation error 
1	0.329467	0
2	0.294397	0
3	0.281066	0
4	0.270958	0
5	0.262197	0
6	0.254493	0
7	0.247321	0
8	0.240267	0
9	0.233293	0
10	0.226626	0
11	0.220378	0
12	0.214391	0
13	0.208537	0
14	0.202881	0
15	0.197606	0
16	0.192762	0
17	0.188267	0
18	0.184081	0
19	0.180204	0
20	0.176612	0
21	0.173257	0
22	0.170089	0
23	0.167072	0
24	0.164193	0
25	0.161451	0
26	0.158836	0
27	0.156336	0
28	0.153933	0
29	0.1516	0
30	0.149325	0
31	0.14712	0
32	0.144991	0
33	0.142937	0
34	0.140963	0
35	0.139062	0
36	0.137217	0
37	0.13543	0
38	0.133709	0
39	0.132054	0
40	0.130461	0
41	0.128922	0
42	0.127428	0
43	0.125973	0
44	0.124542	0
45	0.123111	0
46	0.121693	0
47	0.12035	0
48	0.119095	0
49	0.117923	0
50	0.116804	0
51	0.115728	0
52	0.11469	0
53	0.113687	0
54	0.112725	0
55	0.111797	0
56	0.110898	0
57	0.110008	0
58	0.109126	0
59	0.108282	0
60	0.107489	0
61	0.106738	0
62	0.106033	0
63	0.105375	0
64	0.104751	0
65	0.104154	0
66	0.103579	0
67	0.103021	0
68	0.102475	0
69	0.101935	0
70	0.101398	0
71	0.100859	0
72	0.100313	0
73	0.0997596	0
74	0.0991972	0
75	0.09863	0
76	0.0980631	0
77	0.0974992	0
78	0.0969323	0
79	0.0963386	0
80	0.0956853	0
81	0.0949576	0
82	0.0942166	0
83	0.0935334	0
84	0.0928942	0
85	0.0922792	0
86	0.0916765	0
87	0.0910789	0
88	0.0904902	0
89	0.0899224	0
90	0.0893842	0
91	0.0888675	0
92	0.0883491	0
93	0.0878116	0
94	0.087262	0
95	0.0866861	0
96	0.0860555	0
97	0.085354	0
98	0.0846177	0
99	0.0839127	0
100	0.0832511	0
101	0.0826451	0
102	0.0820906	0
103	0.0815905	0
104	0.0811181	0
105	0.0806489	0
106	0.0801708	0
107	0.0797009	0
108	0.0792725	0
109	0.0788922	0
110	0.0785445	0
111	0.078213	0
112	0.0778891	0
113	0.0775658	0
114	0.0772374	0
115	0.0769041	0
116	0.0765795	0
117	0.0762743	0
118	0.0759837	0
119	0.0756996	0
120	0.0754151	0
121	0.0751234	0
122	0.0748257	0
123	0.0745344	0
124	0.0742533	0
125	0.0739761	0
126	0.0737032	0
127	0.0734343	0
128	0.0731734	0
129	0.0729269	0
130	0.0726974	0
131	0.0724828	0
132	0.0722794	0
133	0.0720842	0
134	0.0718943	0
135	0.0717072	0
136	0.0715208	0
137	0.0713321	0
138	0.0711375	0
139	0.0709318	0
140	0.0707091	0
141	0.070467	0
142	0.0702118	0
143	0.0699524	0
144	0.069703	0
145	0.0694751	0
146	0.0692561	0
147	0.0690397	0
148	0.0688178	0
149	0.0685798	0
150	0.0683193	0
151	0.0680533	0
152	0.0678252	0
153	0.0676356	0
154	0.0674642	0
155	0.0673056	0
156	0.0671563	0
157	0.0670132	0
158	0.066875	0
159	0.0667408	0
160	0.0666099	0
161	0.0664813	0
162	0.0663544	0
163	0.0662283	0
164	0.0661024	0
165	0.0659759	0
166	0.0658492	0
167	0.0657231	0
168	0.0655993	0
169	0.0654791	0
170	0.0653629	0
171	0.0652508	0
172	0.0651418	0
173	0.0650356	0
174	0.064931	0
175	0.0648278	0
176	0.0647248	0
177	0.0646214	0
178	0.0645158	0
179	0.0644068	0
180	0.0642911	0
181	0.0641661	0
182	0.0640294	0
183	0.0638857	0
184	0.0637481	0
185	0.0636263	0
186	0.0635184	0
187	0.0634191	0
188	0.0633279	0
189	0.0632412	0
190	0.0631608	0
191	0.0630818	0
192	0.0630083	0
193	0.0629337	0
194	0.0628646	0
195	0.0627928	0
196	0.0627265	0
197	0.0626566	0
198	0.0625918	0
199	0.0625236	0
200	0.0624588	0
201	0.0623926	0
202	0.0623258	0
203	0.0622617	0
204	0.0621913	0
205	0.0621292	0
206	0.0620537	0
207	0.0619934	0
208	0.0619143	0
209	0.0618576	0
210	0.0617804	0
211	0.061728	0
212	0.0616572	0
213	0.0616051	0
214	0.0615424	0
215	0.061485	0
216	0.0614322	0
217	0.0613671	0
218	0.0613244	0
219	0.0612519	0
220	0.0612168	0
221	0.0611411	0
222	0.0611082	0
223	0.0610357	0
224	0.0609977	0
225	0.0609354	0
226	0.0608872	0
227	0.0608389	0
228	0.0607776	0
229	0.0607431	0
230	0.0606723	0
231	0.0606462	0
232	0.0605728	0
233	0.0605463	0
234	0.0604795	0
235	0.0604451	0
236	0.0603914	0
237	0.0603436	0
238	0.0603052	0
239	0.0602461	0
240	0.0602192	0
241	0.0601539	0
242	0.0601311	0
243	0.0600684	0
244	0.0600419	0
245	0.0599888	0
246	0.0599521	0
247	0.0599122	0
248	0.059865	0
249	0.0598367	0
250	0.0597816	0
251	0.0597593	0
252	0.0597031	0
253	0.0596802	0
254	0.0596286	0
255	0.0595984	0
256	0.0595556	0
257	0.0595155	0
258	0.0594815	0
259	0.0594306	0
260	0.0594015	0
261	0.0593423	0
262	0.0593107	0
263	0.0592442	0
264	0.0591996	0
265	0.0591261	0
266	0.0590623	0
267	0.0589911	0
268	0.0589228	0
269	0.0588701	0
270	0.0587998	0
271	0.0587577	0
272	0.0586812	0
273	0.0586411	0
274	0.0585602	0
275	0.0585133	0
276	0.0584314	0
277	0.0583717	0
278	0.0582992	0
279	0.0582328	0
280	0.0581818	0
281	0.0581127	0
282	0.058083	0
283	0.0580123	0
284	0.0579949	0
285	0.0579251	0
286	0.0579089	0
287	0.0578469	0
288	0.0578229	0
289	0.0577749	0
290	0.0577349	0
291	0.0577043	0
292	0.0576472	0
293	0.0576317	0
294	0.0575594	0
295	0.0575506	0
296	0.0574712	0
297	0.0574562	0
298	0.0573772	0
299	0.0573396	0
300	0.0572663	0
301	0.0571975	0
302	0.0571377	0
303	0.0570464	0
304	0.0570112	0
305	0.0569141	0
306	0.056894	0
307	0.0567971	0
308	0.0567696	0
309	0.0566787	0
310	0.0566267	0
311	0.0565524	0
312	0.0564786	0
313	0.0564326	0
314	0.0563479	0
315	0.0563272	0
316	0.0562446	0
317	0.0562353	0
318	0.0561657	0
319	0.0561512	0
320	0.0561023	0
321	0.0560716	0
322	0.0560455	0
323	0.0559983	0
324	0.0559891	0
325	0.0559325	0
326	0.0559293	0
327	0.0558749	0
328	0.0558662	0
329	0.0558236	0
330	0.0558017	0
331	0.0557751	0
332	0.0557395	0
333	0.0557261	0
334	0.0556824	0
335	0.0556745	0
336	0.0556312	0
337	0.0556203	0
338	0.055585	0
339	0.0555655	0
340	0.055541	0
341	0.0555123	0
342	0.0554967	0
343	0.0554626	0
344	0.0554503	0
345	0.0554166	0
346	0.0554019	0
347	0.0553728	0
348	0.0553521	0
349	0.0553289	0
350	0.0553019	0
351	0.0552824	0
352	0.0552514	0
353	0.0552317	0
354	0.0551999	0
355	0.0551772	0
356	0.0551483	0
357	0.0551235	0
358	0.0551003	0
359	0.0550756	0
360	0.0550569	0
361	0.055033	0
362	0.0550155	0
363	0.0549931	0
364	0.0549749	0
365	0.0549546	0
366	0.054935	0
367	0.0549165	0
368	0.054896	0
369	0.0548781	0
370	0.0548574	0
371	0.054839	0
372	0.0548186	0
373	0.0547991	0
374	0.054779	0
375	0.0547582	0
376	0.054738	0
377	0.0547163	0
378	0.0546957	0
379	0.0546739	0
380	0.054653	0
381	0.0546319	0
382	0.0546112	0
383	0.0545911	0
384	0.0545711	0
385	0.0545519	0
386	0.0545326	0
387	0.0545139	0
388	0.0544951	0
389	0.0544765	0
390	0.054458	0
391	0.0544394	0
392	0.0544208	0
393	0.054402	0
394	0.0543832	0
395	0.0543642	0
396	0.0543451	0
397	0.0543258	0
398	0.0543064	0
399	0.0542869	0
400	0.0542673	0
401	0.0542476	0
402	0.0542279	0
403	0.0542082	0
404	0.0541884	0
405	0.0541687	0
406	0.0541491	0
407	0.0541295	0
408	0.05411	0
409	0.0540906	0
410	0.0540713	0
411	0.0540522	0
412	0.0540332	0
413	0.0540145	0
414	0.053996	0
415	0.0539778	0
416	0.0539599	0
417	0.0539423	0
418	0.053925	0
419	0.0539081	0
420	0.0538915	0
421	0.0538752	0
422	0.0538592	0
423	0.0538435	0
424	0.0538281	0
425	0.0538129	0
426	0.0537979	0
427	0.0537832	0
428	0.0537687	0
429	0.0537544	0
430	0.0537402	0
431	0.0537263	0
432	0.0537125	0
433	0.0536988	0
434	0.0536853	0
435	0.0536719	0
436	0.0536586	0
437	0.0536454	0
438	0.0536323	0
439	0.0536192	0
440	0.0536063	0
441	0.0535934	0
442	0.0535805	0
443	0.0535677	0
444	0.0535549	0
445	0.0535421	0
446	0.0535294	0
447	0.0535166	0
448	0.0535037	0
449	0.0534908	0
450	0.0534779	0
451	0.0534648	0
452	0.0534517	0
453	0.0534384	0
454	0.053425	0
455	0.0534114	0
456	0.0533977	0
457	0.0533837	0
458	0.0533696	0
459	0.0533552	0
460	0.0533407	0
461	0.0533259	0
462	0.053311	0
463	0.053296	0
464	0.0532809	0
465	0.0532656	0
466	0.0532503	0
467	0.053235	0
468	0.0532196	0
469	0.0532041	0
470	0.0531887	0
471	0.0531732	0
472	0.0531577	0
473	0.0531421	0
474	0.0531266	0
475	0.0531112	0
476	0.0530958	0
477	0.0530804	0
478	0.0530652	0
479	0.0530501	0
480	0.0530351	0
481	0.0530203	0
482	0.0530057	0
483	0.0529912	0
484	0.0529769	0
485	0.0529627	0
486	0.0529488	0
487	0.052935	0
488	0.0529213	0
489	0.0529078	0
490	0.0528944	0
491	0.0528811	0
492	0.0528679	0
493	0.0528547	0
494	0.0528416	0
495	0.0528286	0
496	0.0528156	0
497	0.0528026	0
498	0.0527896	0
499	0.0527767	0
500	0.0527638	0
