Iteration	 Training error	 Validation error 
1	0.364294	0
2	0.350175	0
3	0.351532	0
4	0.348387	0
5	0.346886	0
6	0.346863	0
7	0.346616	0
8	0.346346	0
9	0.346119	0
10	0.345745	0
11	0.345171	0
12	0.344461	0
13	0.343513	0
14	0.341898	0
15	0.339128	0
16	0.335038	0
17	0.329917	0
18	0.324143	0
19	0.317864	0
20	0.311418	0
21	0.305224	0
22	0.298706	0
23	0.29151	0
24	0.284082	0
25	0.276156	0
26	0.267348	0
27	0.257385	0
28	0.246524	0
29	0.235119	0
30	0.223331	0
31	0.211739	0
32	0.200838	0
33	0.190834	0
34	0.181913	0
35	0.174041	0
36	0.167147	0
37	0.16111	0
38	0.155801	0
39	0.151123	0
40	0.146982	0
41	0.143297	0
42	0.14	0
43	0.137037	0
44	0.134364	0
45	0.131943	0
46	0.12974	0
47	0.127728	0
48	0.125886	0
49	0.124196	0
50	0.122643	0
51	0.121213	0
52	0.11989	0
53	0.118659	0
54	0.117507	0
55	0.116424	0
56	0.115407	0
57	0.114452	0
58	0.113555	0
59	0.112711	0
60	0.111916	0
61	0.111165	0
62	0.110454	0
63	0.109781	0
64	0.109143	0
65	0.108539	0
66	0.107968	0
67	0.107426	0
68	0.106911	0
69	0.106421	0
70	0.105953	0
71	0.105506	0
72	0.105079	0
73	0.104671	0
74	0.104279	0
75	0.103904	0
76	0.103544	0
77	0.103199	0
78	0.102867	0
79	0.102548	0
80	0.102241	0
81	0.101945	0
82	0.10166	0
83	0.101385	0
84	0.10112	0
85	0.100864	0
86	0.100617	0
87	0.100378	0
88	0.100147	0
89	0.0999235	0
90	0.0997071	0
91	0.0994975	0
92	0.0992944	0
93	0.0990975	0
94	0.0989065	0
95	0.0987212	0
96	0.0985414	0
97	0.0983667	0
98	0.098197	0
99	0.0980321	0
100	0.0978717	0
101	0.0977158	0
102	0.097564	0
103	0.0974163	0
104	0.0972725	0
105	0.0971324	0
106	0.0969959	0
107	0.0968629	0
108	0.0967333	0
109	0.0966069	0
110	0.0964835	0
111	0.0963632	0
112	0.0962459	0
113	0.0961313	0
114	0.0960197	0
115	0.0959109	0
116	0.0958051	0
117	0.095702	0
118	0.0956011	0
119	0.095502	0
120	0.0954049	0
121	0.0953099	0
122	0.0952171	0
123	0.0951266	0
124	0.0950384	0
125	0.0949528	0
126	0.0948706	0
127	0.0947928	0
128	0.0947179	0
129	0.0946408	0
130	0.0945613	0
131	0.0944824	0
132	0.094405	0
133	0.0943291	0
134	0.0942546	0
135	0.0941815	0
136	0.0941097	0
137	0.0940393	0
138	0.0939702	0
139	0.0939023	0
140	0.0938357	0
141	0.0937703	0
142	0.093706	0
143	0.0936428	0
144	0.0935808	0
145	0.0935199	0
146	0.0934599	0
147	0.0934011	0
148	0.0933432	0
149	0.0932862	0
150	0.0932303	0
151	0.0931752	0
152	0.0931211	0
153	0.0930678	0
154	0.0930154	0
155	0.0929639	0
156	0.0929131	0
157	0.0928632	0
158	0.092814	0
159	0.0927656	0
160	0.092718	0
161	0.092671	0
162	0.0926248	0
163	0.0925793	0
164	0.0925345	0
165	0.0924903	0
166	0.0924468	0
167	0.0924039	0
168	0.0923617	0
169	0.09232	0
170	0.092279	0
171	0.0922385	0
172	0.0921986	0
173	0.0921593	0
174	0.0921205	0
175	0.0920822	0
176	0.0920445	0
177	0.0920073	0
178	0.0919706	0
179	0.0919344	0
180	0.0918987	0
181	0.0918634	0
182	0.0918287	0
183	0.0917943	0
184	0.0917605	0
185	0.091727	0
186	0.091694	0
187	0.0916614	0
188	0.0916293	0
189	0.0915975	0
190	0.0915661	0
191	0.0915352	0
192	0.0915046	0
193	0.0914744	0
194	0.0914445	0
195	0.0914151	0
196	0.091386	0
197	0.0913572	0
198	0.0913288	0
199	0.0913007	0
200	0.0912729	0
201	0.0912455	0
202	0.0912184	0
203	0.0911916	0
204	0.0911651	0
205	0.091139	0
206	0.0911131	0
207	0.0910875	0
208	0.0910622	0
209	0.0910372	0
210	0.0910125	0
211	0.090988	0
212	0.0909639	0
213	0.09094	0
214	0.0909163	0
215	0.0908929	0
216	0.0908698	0
217	0.0908469	0
218	0.0908242	0
219	0.0908018	0
220	0.0907797	0
221	0.0907577	0
222	0.090736	0
223	0.0907145	0
224	0.0906933	0
225	0.0906723	0
226	0.0906514	0
227	0.0906308	0
228	0.0906105	0
229	0.0905903	0
230	0.0905703	0
231	0.0905505	0
232	0.0905309	0
233	0.0905115	0
234	0.0904923	0
235	0.0904733	0
236	0.0904545	0
237	0.0904359	0
238	0.0904174	0
239	0.0903991	0
240	0.090381	0
241	0.0903631	0
242	0.0903453	0
243	0.0903277	0
244	0.0903103	0
245	0.0902931	0
246	0.090276	0
247	0.090259	0
248	0.0902422	0
249	0.0902256	0
250	0.0902092	0
251	0.0901928	0
252	0.0901767	0
253	0.0901607	0
254	0.0901448	0
255	0.090129	0
256	0.0901135	0
257	0.090098	0
258	0.0900827	0
259	0.0900675	0
260	0.0900525	0
261	0.0900376	0
262	0.0900229	0
263	0.0900083	0
264	0.0899938	0
265	0.0899794	0
266	0.0899652	0
267	0.0899511	0
268	0.0899372	0
269	0.0899234	0
270	0.0899098	0
271	0.0898964	0
272	0.0898833	0
273	0.0898705	0
274	0.0898583	0
275	0.0898464	0
276	0.0898347	0
277	0.0898228	0
278	0.0898107	0
279	0.0897985	0
280	0.0897862	0
281	0.089774	0
282	0.0897618	0
283	0.0897496	0
284	0.0897376	0
285	0.0897255	0
286	0.0897136	0
287	0.0897017	0
288	0.0896899	0
289	0.0896781	0
290	0.0896665	0
291	0.0896549	0
292	0.0896434	0
293	0.0896319	0
294	0.0896206	0
295	0.0896093	0
296	0.0895981	0
297	0.089587	0
298	0.0895759	0
299	0.0895649	0
300	0.089554	0
301	0.0895432	0
302	0.0895325	0
303	0.0895218	0
304	0.0895112	0
305	0.0895007	0
306	0.0894902	0
307	0.0894798	0
308	0.0894695	0
309	0.0894593	0
310	0.0894491	0
311	0.089439	0
312	0.089429	0
313	0.089419	0
314	0.0894091	0
315	0.0893993	0
316	0.0893895	0
317	0.0893798	0
318	0.0893702	0
319	0.0893607	0
320	0.0893512	0
321	0.0893417	0
322	0.0893324	0
323	0.0893231	0
324	0.0893138	0
325	0.0893046	0
326	0.0892955	0
327	0.0892865	0
328	0.0892775	0
329	0.0892685	0
330	0.0892596	0
331	0.0892508	0
332	0.0892421	0
333	0.0892334	0
334	0.0892247	0
