Iteration	 Training error	 Validation error 
1	0.348796	0
2	0.348928	0
3	0.34781	0
4	0.345951	0
5	0.336029	0
6	0.313601	0
7	0.267164	0
8	0.205408	0
9	0.201355	0
10	0.0958921	0
11	0.0648442	0
12	0.888022	0
13	0.328757	0
14	0.264045	0
15	0.247649	0
16	0.249804	0
17	0.247859	0
18	0.247053	0
19	0.2462	0
20	0.245384	0
21	0.244263	0
22	0.24164	0
23	0.228714	0
24	0.173548	0
25	0.127729	0
26	0.11755	0
27	0.111695	0
28	0.107375	0
29	0.103991	0
30	0.1013	0
31	0.0991269	0
32	0.0973991	0
33	0.0960283	0
34	0.0949335	0
35	0.0940482	0
36	0.0933237	0
37	0.0927213	0
38	0.0922138	0
39	0.0917811	0
40	0.0914083	0
41	0.091084	0
42	0.0907994	0
43	0.0905481	0
44	0.0903249	0
45	0.0901257	0
46	0.089947	0
47	0.0897855	0
48	0.0896386	0
49	0.0895041	0
50	0.0893805	0
51	0.0892664	0
52	0.0891608	0
53	0.0890629	0
54	0.0889719	0
55	0.0888869	0
56	0.0888075	0
57	0.088733	0
58	0.088663	0
59	0.0885971	0
60	0.0885348	0
1001	0.088476	0
