Iteration	 Training error	 Validation error 
1	0.301723	0
2	0.244402	0
3	0.211898	0
4	0.18242	0
5	0.159276	0
6	0.141472	0
7	0.127335	0
8	0.11569	0
9	0.105634	0
10	0.0963877	0
11	0.0877636	0
12	0.0802011	0
13	0.0735501	0
14	0.0674682	0
15	0.0619964	0
16	0.0571678	0
17	0.0530245	0
18	0.0493302	0
19	0.0461257	0
20	0.0433309	0
21	0.0408891	0
22	0.0387082	0
23	0.0367186	0
24	0.0349399	0
25	0.0333356	0
26	0.0318795	0
27	0.0305406	0
28	0.0293025	0
29	0.0281616	0
30	0.0271091	0
31	0.0261339	0
32	0.0252262	0
33	0.0243787	0
34	0.0235861	0
35	0.0228435	0
36	0.0221466	0
37	0.0214913	0
38	0.0208738	0
39	0.0202909	0
40	0.0197399	0
41	0.019218	0
42	0.0187232	0
43	0.0182532	0
44	0.0178064	0
45	0.0173809	0
46	0.0169754	0
47	0.0165884	0
48	0.0162186	0
49	0.0158651	0
50	0.0155266	0
51	0.0152023	0
52	0.0148912	0
53	0.0145927	0
54	0.0143058	0
55	0.0140301	0
56	0.0137648	0
57	0.0135093	0
58	0.0132632	0
59	0.0130258	0
60	0.0127968	0
61	0.0125758	0
62	0.0123622	0
63	0.0121558	0
64	0.0119561	0
65	0.0117629	0
66	0.0115759	0
67	0.0113947	0
68	0.0112191	0
69	0.0110488	0
70	0.0108836	0
71	0.0107233	0
72	0.0105677	0
73	0.0104165	0
74	0.0102695	0
75	0.0101267	0
76	0.00998775	0
77	0.00985259	0
78	0.00972103	0
79	0.00959295	0
80	0.0094682	0
81	0.00934666	0
82	0.00922819	0
83	0.0091127	0
84	0.00900006	0
85	0.00889018	0
86	0.00878294	0
87	0.00867827	0
88	0.00857606	0
89	0.00847622	0
90	0.00837869	0
91	0.00828337	0
92	0.0081902	0
93	0.0080991	0
94	0.00800999	0
95	0.00792283	0
96	0.00783753	0
97	0.00775404	0
98	0.00767231	0
99	0.00759227	0
100	0.00751388	0
101	0.00743708	0
102	0.00736183	0
103	0.00728809	0
104	0.00721581	0
105	0.00714496	0
106	0.00707549	0
107	0.00700737	0
108	0.00694056	0
109	0.00687503	0
110	0.00681074	0
111	0.00674765	0
112	0.00668573	0
113	0.00662494	0
114	0.00656526	0
115	0.00650665	0
116	0.00644908	0
117	0.00639253	0
118	0.00633696	0
119	0.00628236	0
120	0.00622869	0
121	0.00617593	0
122	0.00612407	0
123	0.00607306	0
124	0.00602291	0
125	0.00597357	0
126	0.00592504	0
127	0.00587729	0
128	0.00583031	0
129	0.00578407	0
130	0.00573856	0
131	0.00569377	0
132	0.00564967	0
133	0.00560624	0
134	0.00556348	0
135	0.00552137	0
136	0.00547989	0
137	0.00543903	0
138	0.00539877	0
139	0.00535911	0
140	0.00532003	0
141	0.00528151	0
142	0.00524355	0
143	0.00520613	0
144	0.00516924	0
145	0.00513287	0
146	0.00509701	0
147	0.00506164	0
148	0.00502677	0
149	0.00499237	0
150	0.00495844	0
151	0.00492497	0
152	0.00489194	0
153	0.00485936	0
154	0.00482721	0
